Order Priority,Discount offered,Unit Price,Freight Expenses,Freight Mode,Segment,Product Type,Product Sub-Category,Product Container,State,City,Region,Country,Order Date,Ship Date,Profit,QtyOrdered,Sales
High,0.0900,2.88,0.70,Regular Air,Personel Usage,Processed Meat,Foie Gras,Wrap Bag,Kerala,Trivandrum,South,India,15-01-2010,16-01-2010,-172.72,2,5.50
Low,0.0400,22.72,8.99,Regular Air,Hotels / Hospitals,Preserved Food,Marmalade,Small Pack,Maharashtra,Solapur,West,India,16-01-2010,20-01-2010,-678.50,9,202.41
High,0.0300,90.48,19.99,Regular Air,Hotels / Hospitals,Processed Meat,Caviar,Small Box,Rajasthan,Bharatpur,West,India,17-01-2010,19-01-2010,15.35,1,99.69
High,0.0600,22.84,8.18,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Rajasthan,Bharatpur,West,India,17-01-2010,17-01-2010,-357.92,7,152.49
High,0.0500,28.15,6.17,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Small Pack,Bihar,Muzaffarpur,North,India,17-01-2010,18-01-2010,-66.25,10,282.38
High,0.0500,14.81,13.32,Regular Air,Restaurant Chain,Processed Meat,Jelly Fish,Small Box,Maharashtra,Latur,West,India,17-01-2010,20-01-2010,-220.05,3,45.28
High,0.0500,4.20,2.26,Express Air,Restaurant Chain,Processed Meat,Smoked Salmon,Wrap Bag,Maharashtra,Latur,West,India,17-01-2010,19-01-2010,20.39,3,13.57
High,0.0900,2.88,0.70,Regular Air,Personel Usage,Processed Meat,Foie Gras,Wrap Bag,Uttar Pradesh,Lucknow,North,India,19-01-2010,19-01-2010,5.75,10,26.38
High,0.0200,60.22,3.50,Regular Air,Hotels / Hospitals,Processed Meat,Jelly Fish,Small Box,Uttar Pradesh,Basti,North,India,20-01-2010,21-01-2010,-193.91,9,541.76
Not Specified,0.0400,355.98,58.92,Delivery Truck,Restaurant Chain,Preserved Food,Sundried Tomatoes,Jumbo Drum,Jharkhand,Jamshedpur,North,India,21-01-2010,22-01-2010,882.93,8,2748.21
High,0.0900,19.98,8.68,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Jharkhand,Jamshedpur,North,India,21-01-2010,22-01-2010,6.68,5,93.19
High,0.0700,2.89,0.50,Regular Air,Stand Alone Restaurants,Processed Meat,Oysters (Clam),Small Box,Jammu And Kashmir,Srinagar,North,India,22-01-2010,24-01-2010,441.59,12,33.02
Medium,0.0001,217.85,29.10,Delivery Truck,Stand Alone Restaurants,Preserved Food,Jams,Jumbo Box,Jammu And Kashmir,Srinagar,North,India,22-01-2010,23-01-2010,394.17,10,2273.10
High,0.0700,30.98,5.76,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Tamil Nadu,Vellore,South,India,23-01-2010,25-01-2010,-28.80,11,343.79
High,0.0100,14.42,6.75,Regular Air,Hotels / Hospitals,Processed Meat,Jelly Fish,Medium Box,West Bengal,Jhargram,East,India,24-01-2010,24-01-2010,-13.83,6,89.91
Critical,0.0600,1.74,4.08,Regular Air,Hotels / Hospitals,Preserved Food,Marmalade,Small Pack,Maharashtra,Kalyan,West,India,25-01-2010,26-01-2010,-11.07,1,2.77
Not Specified,0.1000,125.99,8.99,Regular Air,Personel Usage,Canned Foods,Quail Eggs,Small Box,Jharkhand,Giridih,North,India,25-01-2010,28-01-2010,17.65,4,408.66
High,0.0800,150.98,13.99,Express Air,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Medium Box,Uttar Pradesh,Agra,North,India,26-01-2010,27-01-2010,-3.95,8,1183.82
High,0.0300,25.98,14.36,Delivery Truck,Hotels / Hospitals,Preserved Food,Sundried Tomatoes,Jumbo Drum,Uttar Pradesh,Basti,North,India,26-01-2010,27-01-2010,57.55,4,107.66
High,0.1000,32.48,35.00,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Large Box,Uttar Pradesh,Basti,North,India,26-01-2010,27-01-2010,-333.43,10,318.83
High,0.0001,6.88,2.00,Express Air,Restaurant Chain,Processed Meat,Smoked Salmon,Wrap Bag,Madhya Pradesh,Rewa,West,India,28-01-2010,29-01-2010,34.07,36,267.53
High,0.0200,59.98,3.99,Regular Air,Hotels / Hospitals,Processed Meat,Jelly Fish,Small Box,Punjab,Jalandhar,West,India,28-01-2010,06-02-2010,-54.62,1,63.48
High,0.0300,5.18,5.74,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Punjab,Jalandhar,West,India,28-01-2010,01-02-2010,-126.81,9,47.64
High,0.0001,6.88,2.00,Express Air,Restaurant Chain,Processed Meat,Smoked Salmon,Wrap Bag,Tamil Nadu,Perambalur,South,India,28-01-2010,29-01-2010,46.15,9,66.88
High,0.0300,32.48,35.00,Express Air,Restaurant Chain,Processed Meat,Fresh Water Eel,Large Box,Tamil Nadu,Perambalur,South,India,28-01-2010,28-01-2010,-1116.33,8,274.91
High,0.0600,55.48,14.30,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Kerala,Kozhikode,South,India,28-01-2010,29-01-2010,-28.30,1,67.49
High,0.0200,1.68,1.57,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Wrap Bag,Kerala,Kozhikode,South,India,28-01-2010,30-01-2010,-5.31,1,2.25
Critical,0.0900,95.99,4.90,Regular Air,Personel Usage,Canned Foods,Quail Eggs,Small Box,Bihar,Khagaria,North,India,29-01-2010,31-01-2010,34.30,4,320.75
High,0.0001,6.98,1.60,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Wrap Bag,West Bengal,Howrah,East,India,31-01-2010,02-02-2010,-343.87,9,64.48
Critical,0.0600,80.97,33.60,Delivery Truck,Personel Usage,Canned Foods,Sliced Pineapple,Jumbo Drum,Uttar Pradesh,Gonda,North,India,01-02-2010,03-02-2010,-15.18,10,799.76
Not Specified,0.0200,35.99,5.00,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Small Box,Tamil Nadu,Pollachi,South,India,03-02-2010,05-02-2010,-120.93,7,227.79
High,0.0300,2.94,0.96,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,Tamil Nadu,Tirunelveli,South,India,04-02-2010,08-02-2010,-4.20,1,3.51
High,0.0001,4.91,0.50,Regular Air,Hotels / Hospitals,Processed Meat,Oysters (Clam),Small Box,Uttar Pradesh,Kanpur,North,India,04-02-2010,06-02-2010,99.20,12,61.87
High,0.0100,7.28,11.15,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Kanpur,North,India,04-02-2010,05-02-2010,136.03,6,48.88
High,0.1000,6.68,6.93,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Kanpur,North,India,04-02-2010,07-02-2010,-100.07,3,21.56
High,0.0500,12.97,1.49,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Bihar,Gaya,North,India,04-02-2010,06-02-2010,5.47,2,26.37
High,0.0600,5.81,3.37,Regular Air,Personel Usage,Processed Meat,Tuna,Wrap Bag,Bihar,Gaya,North,India,04-02-2010,06-02-2010,-149.12,9,53.44
Medium,0.0700,500.98,28.14,Delivery Truck,Stand Alone Restaurants,Canned Foods,Sliced Pineapple,Jumbo Drum,Gujarat,Vadodara,West,India,05-02-2010,06-02-2010,2699.98,10,3913.02
High,0.1000,178.47,19.99,Regular Air,Stand Alone Restaurants,Processed Meat,Fresh Water Eel,Small Box,Gujarat,Vadodara,West,India,05-02-2010,07-02-2010,-170.98,1,180.14
High,0.0200,259.71,66.67,Delivery Truck,Restaurant Chain,Preserved Food,Jams,Jumbo Box,Haryana,Gurgaon,North,India,06-02-2010,06-02-2010,-14.45,8,1757.15
High,0.0200,71.37,69.00,Regular Air,Stand Alone Restaurants,Preserved Food,Jams,Large Box,Uttar Pradesh,Mainpuri,North,India,06-02-2010,07-02-2010,-439.91,4,237.62
High,0.0300,205.99,8.99,Express Air,Stand Alone Restaurants,Canned Foods,Quail Eggs,Small Box,Uttar Pradesh,Mainpuri,North,India,06-02-2010,08-02-2010,1087.72,1,176.42
High,0.0400,19.98,8.68,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Robertsganj,North,India,07-02-2010,14-02-2010,108.00,8,168.04
Low,0.0800,125.99,7.69,Regular Air,Personel Usage,Canned Foods,Quail Eggs,Small Box,Uttar Pradesh,Robertsganj,North,India,07-02-2010,09-02-2010,377.15,7,703.46
High,0.0700,30.56,2.99,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Bihar,Nawada,North,India,07-02-2010,07-02-2010,-95.62,12,364.92
Critical,0.0100,13.99,7.51,Regular Air,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Medium Box,Assam,Tezpur,East,India,10-02-2010,11-02-2010,533.74,2,29.85
Critical,0.0700,270.98,50.00,Delivery Truck,Hotels / Hospitals,Preserved Food,Sundried Tomatoes,Jumbo Drum,Rajasthan,Dausa,West,India,11-02-2010,13-02-2010,27.73,9,2439.37
High,0.1000,7.28,5.47,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Tamil Nadu,Karur,South,India,13-02-2010,13-02-2010,167.33,12,83.14
Critical,0.0900,348.21,40.19,Delivery Truck,Restaurant Chain,Preserved Food,Jams,Jumbo Box,Madhya Pradesh,Rewa,West,India,14-02-2010,16-02-2010,-93.85,8,2651.21
Not Specified,0.0001,236.97,59.24,Delivery Truck,Personel Usage,Preserved Food,Jams,Jumbo Box,Uttar Pradesh,Ghaziabad,North,India,14-02-2010,15-02-2010,1192.04,34,6686.34
Critical,0.0900,348.21,40.19,Delivery Truck,Restaurant Chain,Preserved Food,Jams,Jumbo Box,Chhattisgarh,Raigarh,North,India,14-02-2010,16-02-2010,-93.85,2,662.80
High,0.0500,6.04,2.14,Express Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Wrap Bag,Tamil Nadu,Theni,South,India,17-02-2010,19-02-2010,-4.14,1,8.41
High,0.0300,39.48,1.99,Regular Air,Personel Usage,Canned Foods,Assorted Fruits,Small Pack,Uttar Pradesh,Unnao,North,India,19-02-2010,21-02-2010,317.09,12,459.55
High,0.0500,4.28,5.17,Regular Air,Stand Alone Restaurants,Processed Meat,Smoked Salmon,Small Box,Punjab,Sangrur,West,India,19-02-2010,19-02-2010,-104.57,9,38.58
High,0.0300,4.06,6.89,Regular Air,Personel Usage,Processed Meat,Jelly Fish,Small Box,Bihar,Jhanjharpur,North,India,20-02-2010,22-02-2010,-246.28,37,159.89
High,0.0100,3.75,0.50,Regular Air,Personel Usage,Processed Meat,Oysters (Clam),Small Box,Bihar,Jhanjharpur,North,India,20-02-2010,21-02-2010,55.19,48,180.48
High,0.0200,10.68,13.04,Regular Air,Personel Usage,Preserved Food,Marmalade,Large Box,Bihar,Jhanjharpur,North,India,20-02-2010,22-02-2010,-307.30,31,350.48
High,0.0500,19.23,6.15,Express Air,Hotels / Hospitals,Preserved Food,Marmalade,Small Pack,Kerala,Alleppey,South,India,20-02-2010,22-02-2010,-2133.28,6,119.78
Critical,0.0200,49.99,19.99,Regular Air,Stand Alone Restaurants,Canned Foods,Assorted Fruits,Small Box,Uttar Pradesh,Baghpat,North,India,21-02-2010,21-02-2010,-76.89,18,901.81
Not Specified,0.0001,442.14,14.70,Delivery Truck,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Jumbo Drum,Madhya Pradesh,Shahdol,West,India,22-02-2010,22-02-2010,3294.83,10,4775.11
High,0.0100,20.98,53.03,Delivery Truck,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Jumbo Drum,Chhattisgarh,Rajnandgaon,North,India,23-02-2010,23-02-2010,-282.08,5,123.00
Low,0.1000,50.98,22.24,Regular Air,Hotels / Hospitals,Preserved Food,Marmalade,Large Box,Haryana,Rohtak,North,India,25-02-2010,27-02-2010,98.12,6,300.63
Critical,0.0900,35.99,5.99,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Wrap Bag,Himachal Pradesh,Shimla,North,India,26-02-2010,27-02-2010,114.32,5,151.60
High,0.1000,3.60,2.20,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Wrap Bag,Kerala,Kottayam,South,India,26-02-2010,27-02-2010,-8.28,2,6.97
Critical,0.0300,11.99,5.99,Regular Air,Restaurant Chain,Canned Foods,Sliced Pineapple,Medium Box,Madhya Pradesh,Jabalpur,West,India,27-02-2010,28-02-2010,-216.03,7,83.72
High,0.1000,120.98,9.07,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Bihar,Araria,North,India,28-02-2010,09-03-2010,379.40,5,549.85
Low,0.0800,8.32,2.38,Express Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Pack,Bihar,Araria,North,India,28-02-2010,04-03-2010,-41.83,6,48.99
Low,0.1000,125.99,4.20,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Box,Bihar,Araria,North,India,28-02-2010,28-02-2010,372.40,7,681.42
High,0.0700,40.98,7.47,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Uttar Pradesh,Ghaziabad,North,India,01-03-2010,02-03-2010,54.90,8,327.61
Not Specified,0.0001,8.33,1.99,Express Air,Personel Usage,Canned Foods,Assorted Fruits,Small Pack,Uttar Pradesh,Ghaziabad,North,India,02-03-2010,04-03-2010,82.31,47,421.08
High,0.0001,3.69,0.50,Regular Air,Stand Alone Restaurants,Processed Meat,Oysters (Clam),Small Box,Uttar Pradesh,Aligarh,North,India,02-03-2010,04-03-2010,-37.53,1,4.00
Not Specified,0.0200,175.99,4.99,Express Air,Stand Alone Restaurants,Canned Foods,Quail Eggs,Small Box,Uttar Pradesh,Aligarh,North,India,02-03-2010,02-03-2010,101.49,4,589.80
Critical,0.0500,107.53,5.81,Regular Air,Restaurant Chain,Preserved Food,Marmalade,Medium Box,West Bengal,Arambagh,East,India,05-03-2010,06-03-2010,-89.42,6,612.92
Low,0.0800,296.18,54.12,Delivery Truck,Restaurant Chain,Preserved Food,Jams,Jumbo Box,Maharashtra,Palghar,West,India,05-03-2010,12-03-2010,-187.22,5,1429.81
Low,0.0800,230.98,23.78,Delivery Truck,Personel Usage,Preserved Food,Jams,Jumbo Box,Assam,Dhubri,East,India,06-03-2010,10-03-2010,501.69,4,924.80
High,0.0100,7.64,1.39,Express Air,Hotels / Hospitals,Processed Meat,Caviar,Small Box,Telangana,Adilabad,South,India,09-03-2010,13-03-2010,-1676.61,9,73.29
Low,0.0700,400.97,48.26,Delivery Truck,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Jumbo Box,Telangana,Adilabad,South,India,09-03-2010,13-03-2010,45.13,8,2961.32
Medium,0.0100,99.99,19.99,Express Air,Restaurant Chain,Canned Foods,Sliced Pineapple,Small Box,Uttar Pradesh,Machhlishahr,North,India,10-03-2010,12-03-2010,90.02,2,202.98
High,0.1000,4.98,7.54,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Shahjahanpur,North,India,10-03-2010,11-03-2010,45.08,9,43.84
High,0.0001,22.84,8.18,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Shahjahanpur,North,India,10-03-2010,12-03-2010,-110.38,6,141.74
Critical,0.0900,154.13,69.00,Express Air,Hotels / Hospitals,Preserved Food,Jams,Large Box,Madhya Pradesh,Rewa,West,India,14-03-2010,15-03-2010,-1763.75,38,5679.59
Medium,0.0700,200.98,23.76,Delivery Truck,Hotels / Hospitals,Preserved Food,Sundried Tomatoes,Jumbo Drum,Rajasthan,Alwar,West,India,14-03-2010,15-03-2010,-132.43,9,1805.90
Medium,0.0200,179.29,29.21,Delivery Truck,Hotels / Hospitals,Preserved Food,Jams,Jumbo Box,Rajasthan,Alwar,West,India,14-03-2010,14-03-2010,-411.24,2,311.41
Not Specified,0.0200,200.98,55.96,Delivery Truck,Stand Alone Restaurants,Preserved Food,Pickle,Jumbo Box,Maharashtra,Raver,West,India,14-03-2010,16-03-2010,-224.95,11,2331.90
High,0.0200,4.28,5.17,Regular Air,Stand Alone Restaurants,Processed Meat,Smoked Salmon,Small Box,Maharashtra,Raver,West,India,14-03-2010,15-03-2010,196.80,6,27.47
Not Specified,0.0300,14.20,5.30,Regular Air,Restaurant Chain,Preserved Food,Marmalade,Wrap Bag,Tamil Nadu,Tiruvallur,South,India,15-03-2010,17-03-2010,21.56,2,31.24
Medium,0.0100,220.98,64.66,Delivery Truck,Hotels / Hospitals,Preserved Food,Pickle,Jumbo Box,Bihar,Hajipur,North,India,18-03-2010,19-03-2010,1049.03,11,2591.09
High,0.0700,28.99,8.59,Regular Air,Personel Usage,Canned Foods,Quail Eggs,Medium Box,Bihar,Jhanjharpur,North,India,19-03-2010,19-03-2010,-16.06,39,936.80
Low,0.0600,160.98,35.02,Delivery Truck,Personel Usage,Preserved Food,Pickle,Jumbo Box,Uttar Pradesh,Ghaziabad,North,India,20-03-2010,24-03-2010,-229.68,30,4620.05
Low,0.0600,160.98,35.02,Delivery Truck,Personel Usage,Preserved Food,Pickle,Jumbo Box,Uttar Pradesh,Chandauli,North,India,20-03-2010,24-03-2010,-229.68,8,1232.01
High,0.0200,13.48,4.51,Regular Air,Restaurant Chain,Processed Meat,Fresh Water Eel,Small Box,Maharashtra,Shirdi,West,India,21-03-2010,23-03-2010,34.52,9,127.12
High,0.0900,6.48,6.35,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Nagina,North,India,21-03-2010,22-03-2010,-88.60,8,49.81
Medium,0.0001,6783.02,24.49,Regular Air,Personel Usage,Canned Foods,Sliced Pineapple,Large Box,Maharashtra,Akola,West,India,21-03-2010,22-03-2010,4.11,3,20552.55
Not Specified,0.0200,55.94,6.55,Regular Air,Personel Usage,Canned Foods,Assorted Fruits,Small Box,Madhya Pradesh,Vidisha,West,India,21-03-2010,23-03-2010,401.85,11,646.88
High,0.0200,48.04,5.09,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Madhya Pradesh,Rewa,West,India,22-03-2010,26-03-2010,373.67,18,881.32
High,0.0500,11.97,5.81,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Small Pack,Maharashtra,Solapur,West,India,23-03-2010,25-03-2010,349.06,2,25.31
Low,0.0800,9.48,7.29,Regular Air,Stand Alone Restaurants,Preserved Food,Marmalade,Small Pack,Madhya Pradesh,Gwalior,West,India,24-03-2010,26-03-2010,-50.40,2,20.22
High,0.0300,193.17,19.99,Regular Air,Stand Alone Restaurants,Processed Meat,Fresh Water Eel,Small Box,Madhya Pradesh,Gwalior,West,India,24-03-2010,28-03-2010,-348.75,8,1548.97
Low,0.0200,500.98,41.44,Delivery Truck,Stand Alone Restaurants,Preserved Food,Pickle,Jumbo Box,Uttar Pradesh,Shahjahanpur,North,India,25-03-2010,25-03-2010,2568.46,7,3722.41
High,0.0100,18.97,9.03,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Mirzapur,North,India,25-03-2010,25-03-2010,-12.03,8,164.67
High,0.0300,12.28,4.86,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Mirzapur,North,India,25-03-2010,26-03-2010,122.51,6,72.74
High,0.0500,34.99,7.73,Express Air,Hotels / Hospitals,Processed Meat,Foie Gras,Small Box,Uttar Pradesh,Mirzapur,North,India,25-03-2010,27-03-2010,-12.03,12,418.75
High,0.0800,6.68,1.50,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Wrap Bag,Orissa,Bhubaneshwar,East,India,26-03-2010,28-03-2010,-601.80,10,66.12
High,0.0700,225.04,11.79,Regular Air,Personel Usage,Processed Meat,Jelly Fish,Medium Box,Tamil Nadu,Madurai,South,India,26-03-2010,26-03-2010,-162.92,5,1130.15
High,0.0300,7.84,4.71,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Tamil Nadu,Madurai,South,India,26-03-2010,29-03-2010,859.72,7,54.37
High,0.1000,5.18,5.74,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Gujarat,Patan,West,India,26-03-2010,28-03-2010,-29.00,2,10.96
High,0.0900,20.89,11.52,Regular Air,Restaurant Chain,Processed Meat,Fresh Water Eel,Small Box,Karnataka,Belgaum,South,India,26-03-2010,27-03-2010,-133.55,7,146.50
Medium,0.0600,8.12,2.83,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Pack,Uttar Pradesh,Ghaziabad,North,India,27-03-2010,28-03-2010,-82.83,41,322.03
Medium,0.0500,51.65,18.45,Regular Air,Hotels / Hospitals,Preserved Food,Marmalade,Medium Box,Uttar Pradesh,Ghaziabad,North,India,27-03-2010,28-03-2010,25.04,49,2470.84
Medium,0.1000,175.99,8.99,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Box,Uttar Pradesh,Ghaziabad,North,India,27-03-2010,28-03-2010,930.99,39,5250.66
High,0.0700,8.95,2.01,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Wrap Bag,Madhya Pradesh,Rewa,West,India,27-03-2010,28-03-2010,91.73,36,307.65
Medium,0.0800,18.70,8.99,Regular Air,Restaurant Chain,Preserved Food,Marmalade,Small Pack,Orissa,Dhenkanal,East,India,27-03-2010,28-03-2010,16.14,7,132.23
Low,0.1000,15.98,4.00,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Box,Tamil Nadu,Theni,South,India,27-03-2010,01-04-2010,92.72,9,134.38
High,0.0500,6.68,6.93,Regular Air,Stand Alone Restaurants,Processed Meat,Smoked Salmon,Small Box,Orissa,Jajapur,East,India,28-03-2010,29-03-2010,-2.35,11,77.20
High,0.0400,5.34,2.99,Regular Air,Restaurant Chain,Processed Meat,Bacon,Small Box,Madhya Pradesh,Rewa,West,India,30-03-2010,01-04-2010,3.45,45,240.60
Medium,0.0600,55.99,5.00,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Small Pack,Madhya Pradesh,Rewa,West,India,30-03-2010,01-04-2010,-275.25,5,236.88
High,0.0001,4.91,5.68,Regular Air,Restaurant Chain,Processed Meat,Bacon,Small Box,Bihar,Sheohar,North,India,30-03-2010,31-03-2010,-95.05,9,48.30
Critical,0.0900,20.99,4.81,Express Air,Restaurant Chain,Canned Foods,Quail Eggs,Medium Box,Karnataka,Belgaum,South,India,31-03-2010,01-04-2010,272.69,2,38.98
